SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     q3 ,    0 ,     8 ,     14 ,    15 ,    9         ,
27 ,    45 ,     q3 ,    0 ,     82 ,     289 ,    228 ,    58         ,
27 ,    85 ,     q3 ,    0 ,     140 ,     627 ,    477 ,    114         ,
27 ,    125 ,     q3 ,    0 ,     220 ,     1087 ,    774 ,    179         ,
27 ,    165 ,     q3 ,    0 ,     284 ,     1466 ,    1095 ,    243         ,
27 ,    205 ,     q3 ,    0 ,     352 ,     1876 ,    1389 ,    299         ,
27 ,    245 ,     q3 ,    0 ,     414 ,     2281 ,    1707 ,    364         ,
27 ,    285 ,     q3 ,    0 ,     490 ,     2889 ,    1998 ,    438         ,
27 ,    325 ,     q3 ,    0 ,     562 ,     3287 ,    2295 ,    506         ,
27 ,    365 ,     q3 ,    0 ,     638 ,     3709 ,    2649 ,    577         ,
27 ,    405 ,     q3 ,    0 ,     702 ,     4186 ,    3006 ,    656         ,
27 ,    445 ,     q3 ,    0 ,     778 ,     4728 ,    3324 ,    722         ,
27 ,    485 ,     q3 ,    0 ,     850 ,     5250 ,    3690 ,    794         ,
27 ,    525 ,     q3 ,    0 ,     888 ,     5458 ,    4056 ,    869         ,
27 ,    565 ,     q3 ,    0 ,     984 ,     6138 ,    4365 ,    934         ,
27 ,    605 ,     q3 ,    0 ,     1038 ,     6470 ,    4797 ,    1021         ,
27 ,    645 ,     q3 ,    0 ,     1146 ,     7859 ,    5025 ,    1129         ,
27 ,    685 ,     q3 ,    0 ,     1194 ,     7655 ,    5403 ,    1193         ,
27 ,    725 ,     q3 ,    0 ,     1248 ,     8232 ,    5787 ,    1266         ,
27 ,    765 ,     q3 ,    0 ,     1320 ,     8738 ,    6156 ,    1349         ,
27 ,    805 ,     q3 ,    0 ,     1426 ,     9250 ,    6726 ,    1620         ,
27 ,    845 ,     q3 ,    0 ,     1476 ,     9523 ,    6990 ,    1570         ,
27 ,    885 ,     q3 ,    0 ,     1562 ,     10515 ,    7236 ,    1658         ,
27 ,    925 ,     q3 ,    0 ,     1620 ,     10635 ,    7746 ,    1848         ,
27 ,    965 ,     q3 ,    0 ,     1654 ,     11762 ,    7968 ,    1751         ,
27 ,    1005 ,     q3 ,    0 ,     1732 ,     12142 ,    8322 ,    2156         ,
27 ,    1045 ,     q3 ,    0 ,     1806 ,     12594 ,    8814 ,    2048         ,
27 ,    1085 ,     q3 ,    0 ,     1876 ,     13443 ,    8991 ,    1951         ,
27 ,    1125 ,     q3 ,    0 ,     1942 ,     14276 ,    9393 ,    2146         ,
27 ,    1165 ,     q3 ,    0 ,     2040 ,     14061 ,    9792 ,    2118         ,
27 ,    1205 ,     q3 ,    0 ,     2084 ,     15175 ,    10137 ,    2190         ,
27 ,    1245 ,     q3 ,    0 ,     2164 ,     15398 ,    10686 ,    2515         ,
27 ,    1285 ,     q3 ,    0 ,     2268 ,     16260 ,    10980 ,    2546         ,
27 ,    1325 ,     q3 ,    0 ,     2332 ,     16715 ,    11412 ,    2638         ,
27 ,    1365 ,     q3 ,    0 ,     2386 ,     16948 ,    11811 ,    2594         ,
27 ,    1405 ,     q3 ,    0 ,     2456 ,     17437 ,    12201 ,    2683         ,
27 ,    1445 ,     q3 ,    0 ,     2526 ,     17540 ,    12636 ,    2773         ,
27 ,    1485 ,     q3 ,    0 ,     2586 ,     19238 ,    12930 ,    2833         ,
27 ,    1525 ,     q3 ,    0 ,     2674 ,     19088 ,    13377 ,    3046         ,
27 ,    1565 ,     q3 ,    0 ,     2772 ,     20844 ,    13713 ,    3008         ,
27 ,    1605 ,     q3 ,    0 ,     2796 ,     20904 ,    14016 ,    3211         ,
27 ,    1645 ,     q3 ,    0 ,     2858 ,     20984 ,    14577 ,    3285         ,
27 ,    1685 ,     q3 ,    0 ,     2978 ,     21708 ,    15054 ,    3438         ,
27 ,    1725 ,     q3 ,    0 ,     2996 ,     21647 ,    15333 ,    3298         ,
27 ,    1765 ,     q3 ,    0 ,     3062 ,     22176 ,    15870 ,    3486         ,
27 ,    1805 ,     q3 ,    0 ,     3176 ,     23608 ,    16215 ,    3473         ,
27 ,    1845 ,     q3 ,    0 ,     3182 ,     24185 ,    16461 ,    3623         ,
27 ,    1885 ,     q3 ,    0 ,     3264 ,     24318 ,    16947 ,    3605         ,
27 ,    1925 ,     q3 ,    0 ,     3356 ,     25913 ,    17133 ,    3682         ,
27 ,    1965 ,     q3 ,    0 ,     3436 ,     26664 ,    17583 ,    3747         ,
27 ,    2005 ,     q3 ,    0 ,     3482 ,     26888 ,    17988 ,    3871         ,
27 ,    2045 ,     q3 ,    0 ,     3584 ,     27340 ,    18570 ,    4088         ,
27 ,    2085 ,     q3 ,    0 ,     3664 ,     29850 ,    18441 ,    3992         ,
27 ,    2125 ,     q3 ,    0 ,     3712 ,     28184 ,    19365 ,    4224         ,
27 ,    2165 ,     q3 ,    0 ,     3812 ,     28589 ,    19809 ,    4337         ,
27 ,    2205 ,     q3 ,    0 ,     3808 ,     30524 ,    19851 ,    4265         ,
27 ,    2245 ,     q3 ,    0 ,     3932 ,     29369 ,    20448 ,    4490         ,
27 ,    2285 ,     q3 ,    0 ,     3942 ,     30862 ,    20778 ,    4553         ,
27 ,    2325 ,     q3 ,    0 ,     4134 ,     32776 ,    21120 ,    4644         ,
27 ,    2365 ,     q3 ,    0 ,     4106 ,     31796 ,    21723 ,    4916         ,
27 ,    2405 ,     q3 ,    0 ,     4240 ,     33744 ,    21936 ,    4897         ,
27 ,    2445 ,     q3 ,    0 ,     4240 ,     34219 ,    22140 ,    4828         ,
27 ,    2485 ,     q3 ,    0 ,     4414 ,     33184 ,    23205 ,    5027         ,
27 ,    2525 ,     q3 ,    0 ,     4402 ,     36236 ,    23097 ,    5092         ,
27 ,    2565 ,     q3 ,    0 ,     4484 ,     36602 ,    23679 ,    5199         ,
27 ,    2605 ,     q3 ,    0 ,     4512 ,     35331 ,    24231 ,    5177         ,
27 ,    2645 ,     q3 ,    0 ,     4602 ,     37940 ,    24357 ,    5400         ,
27 ,    2685 ,     q3 ,    0 ,     4718 ,     36277 ,    25017 ,    5462         ,
27 ,    2725 ,     q3 ,    0 ,     4760 ,     37379 ,    25506 ,    5514         ,
27 ,    2765 ,     q3 ,    0 ,     4908 ,     38453 ,    26085 ,    5683         ,
27 ,    2805 ,     q3 ,    0 ,     4894 ,     39540 ,    26316 ,    5637         ,
27 ,    2845 ,     q3 ,    0 ,     4996 ,     37764 ,    26955 ,    5750         ,
27 ,    2885 ,     q3 ,    0 ,     5016 ,     40447 ,    27330 ,    5932         ,
27 ,    2925 ,     q3 ,    0 ,     5006 ,     41168 ,    27306 ,    5939         ,
27 ,    2965 ,     q3 ,    0 ,     5196 ,     40382 ,    28098 ,    6101         ,
27 ,    3005 ,     q3 ,    0 ,     5248 ,     42098 ,    28521 ,    6175         ,
27 ,    3045 ,     q3 ,    0 ,     5274 ,     41996 ,    28905 ,    6275         ,
27 ,    3085 ,     q3 ,    0 ,     5354 ,     43003 ,    29103 ,    6221         ,
27 ,    3125 ,     q3 ,    0 ,     5500 ,     46357 ,    29472 ,    6421         ,
27 ,    3165 ,     q3 ,    0 ,     5550 ,     43527 ,    30288 ,    6482         ,
27 ,    3205 ,     q3 ,    0 ,     5634 ,     45753 ,    30420 ,    6494         ,
27 ,    3245 ,     q3 ,    0 ,     5670 ,     46577 ,    31026 ,    6668         ,
27 ,    3285 ,     q3 ,    0 ,     5802 ,     46712 ,    31251 ,    6833         ,
27 ,    3325 ,     q3 ,    0 ,     5800 ,     47826 ,    31488 ,    6724         ,
27 ,    3365 ,     q3 ,    0 ,     5876 ,     49985 ,    31815 ,    7194         ,
27 ,    3405 ,     q3 ,    0 ,     5944 ,     47625 ,    32553 ,    7071         ,
27 ,    3445 ,     q3 ,    0 ,     6022 ,     49920 ,    32766 ,    7087         ,
27 ,    3485 ,     q3 ,    0 ,     6034 ,     49443 ,    33195 ,    7096         ,
27 ,    3525 ,     q3 ,    0 ,     6244 ,     50486 ,    33774 ,    7195         ,
27 ,    3565 ,     q3 ,    0 ,     6190 ,     52807 ,    33867 ,    7315         ,
27 ,    3605 ,     q3 ,    0 ,     6336 ,     49948 ,    35214 ,    7621         ,
27 ,    3645 ,     q3 ,    0 ,     6342 ,     51790 ,    35160 ,    7585         ,
27 ,    3685 ,     q3 ,    0 ,     6474 ,     52082 ,    35676 ,    7713         ,
27 ,    3725 ,     q3 ,    0 ,     6482 ,     54645 ,    35604 ,    7976         ,
27 ,    3765 ,     q3 ,    0 ,     6550 ,     55503 ,    36090 ,    7850         ,
27 ,    3805 ,     q3 ,    0 ,     6626 ,     54692 ,    36687 ,    7958         ,
27 ,    3845 ,     q3 ,    0 ,     6696 ,     55052 ,    36978 ,    8017         ,
27 ,    3885 ,     q3 ,    0 ,     6788 ,     54252 ,    37734 ,    8278         ,
27 ,    3925 ,     q3 ,    0 ,     6896 ,     56359 ,    37929 ,    8249         ,
27 ,    3965 ,     q3 ,    0 ,     6992 ,     55818 ,    38619 ,    8331         ,
27 ,    4005 ,     q3 ,    0 ,     6934 ,     56705 ,    39138 ,    8437         ,
27 ,    4045 ,     q3 ,    0 ,     7120 ,     58467 ,    39414 ,    8523         ,
27 ,    4085 ,     q3 ,    0 ,     7148 ,     58566 ,    39978 ,    8648         ,
27 ,    4125 ,     q3 ,    0 ,     7164 ,     58237 ,    40368 ,    8748         ,
27 ,    4165 ,     q3 ,    0 ,     7324 ,     60766 ,    40755 ,    8809         ,
27 ,    4205 ,     q3 ,    0 ,     7372 ,     63184 ,    40758 ,    8842         ,
27 ,    4245 ,     q3 ,    0 ,     7492 ,     63808 ,    41448 ,    9490         ,
27 ,    4285 ,     q3 ,    0 ,     7498 ,     63630 ,    41805 ,    9101         ,
27 ,    4325 ,     q3 ,    0 ,     7544 ,     69546 ,    41496 ,    9254         ,
27 ,    4365 ,     q3 ,    0 ,     7638 ,     66536 ,    42744 ,    9386         ,
27 ,    4405 ,     q3 ,    0 ,     7708 ,     64243 ,    43326 ,    9329         ,
27 ,    4445 ,     q3 ,    0 ,     7810 ,     62952 ,    44061 ,    9510         ,
27 ,    4485 ,     q3 ,    0 ,     7816 ,     63798 ,    44703 ,    9594         ,
27 ,    4525 ,     q3 ,    0 ,     7966 ,     68772 ,    44328 ,    9653         ,
27 ,    4565 ,     q3 ,    0 ,     8002 ,     66596 ,    45105 ,    9770         ,
27 ,    4605 ,     q3 ,    0 ,     8052 ,     66142 ,    45813 ,    9854         ,
27 ,    4645 ,     q3 ,    0 ,     8110 ,     66725 ,    46266 ,    10489         ,
27 ,    4685 ,     q3 ,    0 ,     8188 ,     71855 ,    46032 ,    10109         ,
27 ,    4725 ,     q3 ,    0 ,     8220 ,     70808 ,    46500 ,    10149         ,
27 ,    4765 ,     q3 ,    0 ,     8402 ,     73521 ,    46659 ,    10319         ,
27 ,    4805 ,     q3 ,    0 ,     8354 ,     70021 ,    47751 ,    10320         ,
27 ,    4845 ,     q3 ,    0 ,     8466 ,     70989 ,    48048 ,    10299         ,
27 ,    4885 ,     q3 ,    0 ,     8470 ,     70033 ,    49023 ,    10521         ,
27 ,    4925 ,     q3 ,    0 ,     8596 ,     74245 ,    48861 ,    10550         ,
27 ,    4965 ,     q3 ,    0 ,     8666 ,     72688 ,    49377 ,    10675         ,
27 ,    5 ,     q3 ,    1 ,     6 ,     12 ,    9 ,    4         ,
27 ,    45 ,     q3 ,    1 ,     58 ,     226 ,    87 ,    25         ,
27 ,    85 ,     q3 ,    1 ,     106 ,     496 ,    159 ,    42         ,
27 ,    125 ,     q3 ,    1 ,     126 ,     756 ,    189 ,    56         ,
27 ,    165 ,     q3 ,    1 ,     202 ,     1110 ,    303 ,    81         ,
27 ,    205 ,     q3 ,    1 ,     254 ,     1442 ,    381 ,    102         ,
27 ,    245 ,     q3 ,    1 ,     254 ,     1722 ,    381 ,    108         ,
27 ,    285 ,     q3 ,    1 ,     314 ,     2092 ,    471 ,    136         ,
27 ,    325 ,     q3 ,    1 ,     394 ,     2492 ,    591 ,    165         ,
