SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     rs ,    0 ,     4 ,     10 ,    9 ,    5         ,
27 ,    45 ,     rs ,    0 ,     44 ,     990 ,    120 ,    58         ,
27 ,    85 ,     rs ,    0 ,     84 ,     3570 ,    237 ,    165         ,
27 ,    125 ,     rs ,    0 ,     124 ,     7750 ,    357 ,    327         ,
27 ,    165 ,     rs ,    0 ,     164 ,     13530 ,    486 ,    553         ,
27 ,    205 ,     rs ,    0 ,     204 ,     20910 ,    597 ,    798         ,
27 ,    245 ,     rs ,    0 ,     244 ,     29890 ,    702 ,    1255         ,
27 ,    285 ,     rs ,    0 ,     284 ,     40470 ,    834 ,    1490         ,
27 ,    325 ,     rs ,    0 ,     324 ,     52650 ,    960 ,    2162         ,
27 ,    365 ,     rs ,    0 ,     364 ,     66430 ,    1062 ,    2437         ,
27 ,    405 ,     rs ,    0 ,     404 ,     81810 ,    1194 ,    2893         ,
27 ,    445 ,     rs ,    0 ,     444 ,     98790 ,    1308 ,    3606         ,
27 ,    485 ,     rs ,    0 ,     484 ,     117370 ,    1440 ,    4092         ,
27 ,    525 ,     rs ,    0 ,     524 ,     137550 ,    1554 ,    4902         ,
27 ,    565 ,     rs ,    0 ,     564 ,     159330 ,    1659 ,    5625         ,
27 ,    605 ,     rs ,    0 ,     604 ,     182710 ,    1794 ,    6382         ,
27 ,    645 ,     rs ,    0 ,     644 ,     207690 ,    1920 ,    7129         ,
27 ,    685 ,     rs ,    0 ,     684 ,     234270 ,    2031 ,    8145         ,
27 ,    725 ,     rs ,    0 ,     724 ,     262450 ,    2160 ,    9025         ,
27 ,    765 ,     rs ,    0 ,     764 ,     292230 ,    2277 ,    10100         ,
27 ,    805 ,     rs ,    0 ,     804 ,     323610 ,    2403 ,    11051         ,
27 ,    845 ,     rs ,    0 ,     844 ,     356590 ,    2520 ,    12197         ,
27 ,    885 ,     rs ,    0 ,     884 ,     391170 ,    2634 ,    13505         ,
27 ,    925 ,     rs ,    0 ,     924 ,     427350 ,    2763 ,    14705         ,
27 ,    965 ,     rs ,    0 ,     964 ,     465130 ,    2865 ,    15778         ,
27 ,    1005 ,     rs ,    0 ,     1004 ,     504510 ,    3006 ,    17278         ,
27 ,    1045 ,     rs ,    0 ,     1044 ,     545490 ,    3114 ,    18581         ,
27 ,    1085 ,     rs ,    0 ,     1084 ,     588070 ,    3225 ,    20542         ,
27 ,    1125 ,     rs ,    0 ,     1124 ,     632250 ,    3351 ,    21520         ,
27 ,    1165 ,     rs ,    0 ,     1164 ,     678030 ,    3471 ,    22930         ,
27 ,    1205 ,     rs ,    0 ,     1204 ,     725410 ,    3597 ,    26545         ,
27 ,    1245 ,     rs ,    0 ,     1244 ,     774390 ,    3702 ,    26410         ,
27 ,    1285 ,     rs ,    0 ,     1284 ,     824970 ,    3828 ,    27772         ,
27 ,    1325 ,     rs ,    0 ,     1324 ,     877150 ,    3933 ,    31097         ,
27 ,    1365 ,     rs ,    0 ,     1364 ,     930930 ,    4083 ,    32777         ,
27 ,    1405 ,     rs ,    0 ,     1404 ,     986310 ,    4200 ,    33295         ,
27 ,    1445 ,     rs ,    0 ,     1444 ,     1043290 ,    4323 ,    35301         ,
27 ,    1485 ,     rs ,    0 ,     1484 ,     1101870 ,    4434 ,    36990         ,
27 ,    1525 ,     rs ,    0 ,     1524 ,     1162050 ,    4539 ,    38890         ,
27 ,    1565 ,     rs ,    0 ,     1564 ,     1223830 ,    4680 ,    40853         ,
27 ,    1605 ,     rs ,    0 ,     1604 ,     1287210 ,    4794 ,    43363         ,
27 ,    1645 ,     rs ,    0 ,     1644 ,     1352190 ,    4920 ,    45047         ,
27 ,    1685 ,     rs ,    0 ,     1684 ,     1418770 ,    5037 ,    47598         ,
27 ,    1725 ,     rs ,    0 ,     1724 ,     1486950 ,    5145 ,    49673         ,
27 ,    1765 ,     rs ,    0 ,     1764 ,     1556730 ,    5271 ,    52071         ,
27 ,    1805 ,     rs ,    0 ,     1804 ,     1628110 ,    5391 ,    54446         ,
27 ,    1845 ,     rs ,    0 ,     1844 ,     1701090 ,    5511 ,    56765         ,
27 ,    1885 ,     rs ,    0 ,     1884 ,     1775670 ,    5625 ,    60905         ,
27 ,    1925 ,     rs ,    0 ,     1924 ,     1851850 ,    5763 ,    61678         ,
27 ,    1965 ,     rs ,    0 ,     1964 ,     1929630 ,    5880 ,    66022         ,
27 ,    2005 ,     rs ,    0 ,     2004 ,     2009010 ,    5976 ,    73082         ,
27 ,    2045 ,     rs ,    0 ,     2044 ,     2089990 ,    6105 ,    71082         ,
27 ,    2085 ,     rs ,    0 ,     2084 ,     2172570 ,    6228 ,    73912         ,
27 ,    2125 ,     rs ,    0 ,     2124 ,     2256750 ,    6342 ,    77772         ,
27 ,    2165 ,     rs ,    0 ,     2164 ,     2342530 ,    6471 ,    80289         ,
27 ,    2205 ,     rs ,    0 ,     2204 ,     2429910 ,    6585 ,    81818         ,
27 ,    2245 ,     rs ,    0 ,     2244 ,     2518890 ,    6702 ,    84305         ,
27 ,    2285 ,     rs ,    0 ,     2284 ,     2609470 ,    6834 ,    88561         ,
27 ,    2325 ,     rs ,    0 ,     2324 ,     2701650 ,    6939 ,    93062         ,
27 ,    2365 ,     rs ,    0 ,     2364 ,     2795430 ,    7080 ,    95887         ,
27 ,    2405 ,     rs ,    0 ,     2404 ,     2890810 ,    7188 ,    99420         ,
27 ,    2445 ,     rs ,    0 ,     2444 ,     2987790 ,    7311 ,    102928         ,
27 ,    2485 ,     rs ,    0 ,     2484 ,     3086370 ,    7443 ,    104315         ,
27 ,    2525 ,     rs ,    0 ,     2524 ,     3186550 ,    7536 ,    108634         ,
27 ,    2565 ,     rs ,    0 ,     2564 ,     3288330 ,    7662 ,    117582         ,
27 ,    2605 ,     rs ,    0 ,     2604 ,     3391710 ,    7767 ,    115340         ,
27 ,    2645 ,     rs ,    0 ,     2644 ,     3496690 ,    7902 ,    120117         ,
27 ,    2685 ,     rs ,    0 ,     2684 ,     3603270 ,    8031 ,    124194         ,
27 ,    2725 ,     rs ,    0 ,     2724 ,     3711450 ,    8154 ,    125950         ,
27 ,    2765 ,     rs ,    0 ,     2764 ,     3821230 ,    8277 ,    139713         ,
27 ,    2805 ,     rs ,    0 ,     2804 ,     3932610 ,    8376 ,    131548         ,
27 ,    2845 ,     rs ,    0 ,     2844 ,     4045590 ,    8508 ,    137473         ,
27 ,    2885 ,     rs ,    0 ,     2884 ,     4160170 ,    8637 ,    139026         ,
27 ,    2925 ,     rs ,    0 ,     2924 ,     4276350 ,    8754 ,    144396         ,
27 ,    2965 ,     rs ,    0 ,     2964 ,     4394130 ,    8883 ,    149097         ,
27 ,    3005 ,     rs ,    0 ,     3004 ,     4513510 ,    8979 ,    153697         ,
27 ,    3045 ,     rs ,    0 ,     3044 ,     4634490 ,    9102 ,    155294         ,
27 ,    3085 ,     rs ,    0 ,     3084 ,     4757070 ,    9234 ,    163073         ,
27 ,    3125 ,     rs ,    0 ,     3124 ,     4881250 ,    9345 ,    165961         ,
27 ,    3165 ,     rs ,    0 ,     3164 ,     5007030 ,    9477 ,    168350         ,
27 ,    3205 ,     rs ,    0 ,     3204 ,     5134410 ,    9600 ,    177335         ,
27 ,    3245 ,     rs ,    0 ,     3244 ,     5263390 ,    9705 ,    178409         ,
27 ,    3285 ,     rs ,    0 ,     3284 ,     5393970 ,    9843 ,    184702         ,
27 ,    3325 ,     rs ,    0 ,     3324 ,     5526150 ,    9948 ,    189502         ,
27 ,    3365 ,     rs ,    0 ,     3364 ,     5659930 ,    10074 ,    196687         ,
27 ,    3405 ,     rs ,    0 ,     3404 ,     5795310 ,    10182 ,    198438         ,
27 ,    3445 ,     rs ,    0 ,     3444 ,     5932290 ,    10305 ,    202615         ,
27 ,    3485 ,     rs ,    0 ,     3484 ,     6070870 ,    10413 ,    208747         ,
27 ,    3525 ,     rs ,    0 ,     3524 ,     6211050 ,    10530 ,    209771         ,
27 ,    3565 ,     rs ,    0 ,     3564 ,     6352830 ,    10662 ,    216379         ,
27 ,    3605 ,     rs ,    0 ,     3604 ,     6496210 ,    10791 ,    221726         ,
27 ,    3645 ,     rs ,    0 ,     3644 ,     6641190 ,    10911 ,    224415         ,
27 ,    3685 ,     rs ,    0 ,     3684 ,     6787770 ,    11013 ,    229531         ,
27 ,    3725 ,     rs ,    0 ,     3724 ,     6935950 ,    11160 ,    235508         ,
27 ,    3765 ,     rs ,    0 ,     3764 ,     7085730 ,    11271 ,    239662         ,
27 ,    3805 ,     rs ,    0 ,     3804 ,     7237110 ,    11400 ,    244717         ,
27 ,    3845 ,     rs ,    0 ,     3844 ,     7390090 ,    11499 ,    255016         ,
27 ,    3885 ,     rs ,    0 ,     3884 ,     7544670 ,    11619 ,    258784         ,
27 ,    3925 ,     rs ,    0 ,     3924 ,     7700850 ,    11742 ,    265625         ,
27 ,    3965 ,     rs ,    0 ,     3964 ,     7858630 ,    11862 ,    270727         ,
27 ,    4005 ,     rs ,    0 ,     4004 ,     8018010 ,    11994 ,    274892         ,
27 ,    4045 ,     rs ,    0 ,     4044 ,     8178990 ,    12108 ,    283485         ,
27 ,    4085 ,     rs ,    0 ,     4084 ,     8341570 ,    12228 ,    282717         ,
27 ,    4125 ,     rs ,    0 ,     4124 ,     8505750 ,    12351 ,    288431         ,
27 ,    4165 ,     rs ,    0 ,     4164 ,     8671530 ,    12465 ,    298632         ,
27 ,    4205 ,     rs ,    0 ,     4204 ,     8838910 ,    12600 ,    300570         ,
27 ,    4245 ,     rs ,    0 ,     4244 ,     9007890 ,    12714 ,    315409         ,
27 ,    4285 ,     rs ,    0 ,     4284 ,     9178470 ,    12825 ,    317448         ,
27 ,    4325 ,     rs ,    0 ,     4324 ,     9350650 ,    12945 ,    324617         ,
27 ,    4365 ,     rs ,    0 ,     4364 ,     9524430 ,    13062 ,    323396         ,
27 ,    4405 ,     rs ,    0 ,     4404 ,     9699810 ,    13170 ,    340964         ,
27 ,    4445 ,     rs ,    0 ,     4444 ,     9876790 ,    13323 ,    345894         ,
27 ,    4485 ,     rs ,    0 ,     4484 ,     10055370 ,    13410 ,    347253         ,
27 ,    4525 ,     rs ,    0 ,     4524 ,     10235550 ,    13542 ,    352927         ,
27 ,    4565 ,     rs ,    0 ,     4564 ,     10417330 ,    13665 ,    361309         ,
27 ,    4605 ,     rs ,    0 ,     4604 ,     10600710 ,    13776 ,    366547         ,
27 ,    4645 ,     rs ,    0 ,     4644 ,     10785690 ,    13902 ,    374748         ,
27 ,    4685 ,     rs ,    0 ,     4684 ,     10972270 ,    14028 ,    380577         ,
27 ,    4725 ,     rs ,    0 ,     4724 ,     11160450 ,    14136 ,    391512         ,
27 ,    4765 ,     rs ,    0 ,     4764 ,     11350230 ,    14268 ,    386985         ,
27 ,    4805 ,     rs ,    0 ,     4804 ,     11541610 ,    14379 ,    393633         ,
27 ,    4845 ,     rs ,    0 ,     4844 ,     11734590 ,    14496 ,    401676         ,
27 ,    4885 ,     rs ,    0 ,     4884 ,     11929170 ,    14634 ,    413916         ,
27 ,    4925 ,     rs ,    0 ,     4924 ,     12125350 ,    14751 ,    418037         ,
27 ,    4965 ,     rs ,    0 ,     4964 ,     12323130 ,    14877 ,    419272         ,
27 ,    5 ,     rs ,    1 ,     4 ,     10 ,    0 ,    4         ,
27 ,    45 ,     rs ,    1 ,     44 ,     990 ,    0 ,    40         ,
27 ,    85 ,     rs ,    1 ,     84 ,     3570 ,    0 ,    124         ,
27 ,    125 ,     rs ,    1 ,     124 ,     7750 ,    0 ,    259         ,
27 ,    165 ,     rs ,    1 ,     164 ,     13530 ,    0 ,    445         ,
27 ,    205 ,     rs ,    1 ,     204 ,     20910 ,    0 ,    682         ,
27 ,    245 ,     rs ,    1 ,     244 ,     29890 ,    0 ,    1071         ,
27 ,    285 ,     rs ,    1 ,     284 ,     40470 ,    0 ,    1306         ,
27 ,    325 ,     rs ,    1 ,     324 ,     52650 ,    0 ,    1696         ,
27 ,    365 ,     rs ,    1 ,     364 ,     66430 ,    0 ,    2137         ,
27 ,    405 ,     rs ,    1 ,     404 ,     81810 ,    0 ,    2730         ,
27 ,    445 ,     rs ,    1 ,     444 ,     98790 ,    0 ,    3173         ,
27 ,    485 ,     rs ,    1 ,     484 ,     117370 ,    0 ,    3862         ,
27 ,    525 ,     rs ,    1 ,     524 ,     137550 ,    0 ,    4411         ,
27 ,    565 ,     rs ,    1 ,     564 ,     159330 ,    0 ,    5207         ,
27 ,    605 ,     rs ,    1 ,     604 ,     182710 ,    0 ,    5957         ,
27 ,    645 ,     rs ,    1 ,     644 ,     207690 ,    0 ,    6654         ,
27 ,    685 ,     rs ,    1 ,     684 ,     234270 ,    0 ,    7685         ,
27 ,    725 ,     rs ,    1 ,     724 ,     262450 ,    0 ,    8504         ,
27 ,    765 ,     rs ,    1 ,     764 ,     292230 ,    0 ,    9460         ,
27 ,    805 ,     rs ,    1 ,     804 ,     323610 ,    0 ,    10462         ,
27 ,    845 ,     rs ,    1 ,     844 ,     356590 ,    0 ,    11623         ,
27 ,    885 ,     rs ,    1 ,     884 ,     391170 ,    0 ,    12619         ,
27 ,    925 ,     rs ,    1 ,     924 ,     427350 ,    0 ,    13788         ,
27 ,    965 ,     rs ,    1 ,     964 ,     465130 ,    0 ,    15079         ,
27 ,    1005 ,     rs ,    1 ,     1004 ,     504510 ,    0 ,    16399         ,
27 ,    1045 ,     rs ,    1 ,     1044 ,     545490 ,    0 ,    17559         ,
27 ,    1085 ,     rs ,    1 ,     1084 ,     588070 ,    0 ,    19012         ,
27 ,    1125 ,     rs ,    1 ,     1124 ,     632250 ,    0 ,    20516         ,
27 ,    1165 ,     rs ,    1 ,     1164 ,     678030 ,    0 ,    24309         ,
27 ,    1205 ,     rs ,    1 ,     1204 ,     725410 ,    0 ,    23669         ,
27 ,    1245 ,     rs ,    1 ,     1244 ,     774390 ,    0 ,    24981         ,
27 ,    1285 ,     rs ,    1 ,     1284 ,     824970 ,    0 ,    26605         ,
27 ,    1325 ,     rs ,    1 ,     1324 ,     877150 ,    0 ,    30717         ,
27 ,    1365 ,     rs ,    1 ,     1364 ,     930930 ,    0 ,    30326         ,
27 ,    1405 ,     rs ,    1 ,     1404 ,     986310 ,    0 ,    31847         ,
27 ,    1445 ,     rs ,    1 ,     1444 ,     1043290 ,    0 ,    35595         ,
27 ,    1485 ,     rs ,    1 ,     1484 ,     1101870 ,    0 ,    35630         ,
27 ,    1525 ,     rs ,    1 ,     1524 ,     1162050 ,    0 ,    37765         ,
27 ,    1565 ,     rs ,    1 ,     1564 ,     1223830 ,    0 ,    39662         ,
27 ,    1605 ,     rs ,    1 ,     1604 ,     1287210 ,    0 ,    41553         ,
27 ,    1645 ,     rs ,    1 ,     1644 ,     1352190 ,    0 ,    45562         ,
27 ,    1685 ,     rs ,    1 ,     1684 ,     1418770 ,    0 ,    46030         ,
27 ,    1725 ,     rs ,    1 ,     1724 ,     1486950 ,    0 ,    48031         ,
27 ,    1765 ,     rs ,    1 ,     1764 ,     1556730 ,    0 ,    50386         ,
27 ,    1805 ,     rs ,    1 ,     1804 ,     1628110 ,    0 ,    53318         ,
27 ,    1845 ,     rs ,    1 ,     1844 ,     1701090 ,    0 ,    55028         ,
27 ,    1885 ,     rs ,    1 ,     1884 ,     1775670 ,    0 ,    59680         ,
27 ,    1925 ,     rs ,    1 ,     1924 ,     1851850 ,    0 ,    59880         ,
27 ,    1965 ,     rs ,    1 ,     1964 ,     1929630 ,    0 ,    64200         ,
27 ,    2005 ,     rs ,    1 ,     2004 ,     2009010 ,    0 ,    64848         ,
27 ,    2045 ,     rs ,    1 ,     2044 ,     2089990 ,    0 ,    67581         ,
27 ,    2085 ,     rs ,    1 ,     2084 ,     2172570 ,    0 ,    72649         ,
27 ,    2125 ,     rs ,    1 ,     2124 ,     2256750 ,    0 ,    74727         ,
27 ,    2165 ,     rs ,    1 ,     2164 ,     2342530 ,    0 ,    75864         ,
27 ,    2205 ,     rs ,    1 ,     2204 ,     2429910 ,    0 ,    78634         ,
27 ,    2245 ,     rs ,    1 ,     2244 ,     2518890 ,    0 ,    83322         ,
27 ,    2285 ,     rs ,    1 ,     2284 ,     2609470 ,    0 ,    86373         ,
27 ,    2325 ,     rs ,    1 ,     2324 ,     2701650 ,    0 ,    89137         ,
27 ,    2365 ,     rs ,    1 ,     2364 ,     2795430 ,    0 ,    91011         ,
27 ,    2405 ,     rs ,    1 ,     2404 ,     2890810 ,    0 ,    94402         ,
27 ,    2445 ,     rs ,    1 ,     2444 ,     2987790 ,    0 ,    97567         ,
27 ,    2485 ,     rs ,    1 ,     2484 ,     3086370 ,    0 ,    101172         ,
27 ,    2525 ,     rs ,    1 ,     2524 ,     3186550 ,    0 ,    104824         ,
27 ,    2565 ,     rs ,    1 ,     2564 ,     3288330 ,    0 ,    107199         ,
27 ,    2605 ,     rs ,    1 ,     2604 ,     3391710 ,    0 ,    112860         ,
27 ,    2645 ,     rs ,    1 ,     2644 ,     3496690 ,    0 ,    116713         ,
27 ,    2685 ,     rs ,    1 ,     2684 ,     3603270 ,    0 ,    118416         ,
27 ,    2725 ,     rs ,    1 ,     2724 ,     3711450 ,    0 ,    121858         ,
27 ,    2765 ,     rs ,    1 ,     2764 ,     3821230 ,    0 ,    127441         ,
